"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @joshrogin: Hillary to @maddow: ""I don't know whether Trump is a witting or unwitting tool of Putin. I don't know that. But it's clear h…",FALSE,0,NA,2018-09-19 16:17:09,FALSE,NA,"1042447510940409858",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",3432,TRUE,FALSE,NA,NA
"RT @MSNBC: JUST IN: Hillary Clinton tells @Maddow that she predicts that President Trump ""is going to wholesale fire people"" after the midt…",FALSE,0,NA,2018-09-19 16:16:53,FALSE,NA,"1042447447983828994",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2091,TRUE,FALSE,NA,NA
"Democracy works only when we accept that we’re in this together. 

We can’t just ask, “Am I better off than I was f… https://t.co/l6DaDYd9J8",FALSE,14176,"HillaryClinton",2018-09-18 15:09:01,TRUE,"1042067975489159169","1042067977003253760","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",3450,FALSE,FALSE,NA,NA
"Above all, we need to find a way to restitch our fraying social fabric and rekindle our civic spirit. We need to br… https://t.co/rbjQiqsTIY",FALSE,10839,"HillaryClinton",2018-09-18 15:09:00,TRUE,"1042067974360842241","1042067975489159169","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2334,FALSE,FALSE,NA,NA
"We need to improve and protect our elections, from instituting paper ballot backups to repairing the Voting Rights… https://t.co/FQmsLISDL5",FALSE,7262,"HillaryClinton",2018-09-18 15:09:00,TRUE,"1042067972230184960","1042067974360842241","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2140,FALSE,FALSE,NA,NA
"Then, we need to do some housecleaning. Just as Nixon’s abuses of power led to reforms, post-Trump all future presi… https://t.co/7WiBhe9e2A",FALSE,7651,"HillaryClinton",2018-09-18 15:08:59,TRUE,"1042067970913169411","1042067972230184960","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2308,FALSE,FALSE,NA,NA
"First: We’ve got to mobilize turnout in the midterms. There are fantastic candidates all over the country who’ll do… https://t.co/2dvLGBePNM",FALSE,5453,"HillaryClinton",2018-09-18 15:08:59,TRUE,"1042067969294180352","1042067970913169411","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1513,FALSE,FALSE,NA,NA
"With our democracy in crisis and our institutions and traditions under siege, we need to do everything we can to fight back. Here's how.",FALSE,5009,"HillaryClinton",2018-09-18 15:08:59,FALSE,"1042067968077836288","1042067969294180352","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1443,FALSE,FALSE,NA,NA
"Whether it was stealing a Supreme Court seat, gerrymandering congressional districts to disenfranchise African Amer… https://t.co/W6JcVvppZA",FALSE,7789,"HillaryClinton",2018-09-18 15:08:58,TRUE,"1042067966861434880","1042067968077836288","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2665,FALSE,FALSE,NA,NA
"We should be clear about this: The increasing radicalism and irresponsibility of the Republican Party, including de… https://t.co/ZQH8PkN1zA",FALSE,6693,"HillaryClinton",2018-09-18 15:08:58,TRUE,"1042067965645148161","1042067966861434880","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",2195,FALSE,FALSE,NA,NA
"There is a tendency, when talking about these things, to wring our hands about ""both sides."" But the truth is that… https://t.co/sR1cRZlnta",FALSE,5025,"HillaryClinton",2018-09-18 15:08:58,TRUE,"1042067964403572736","1042067965645148161","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1182,FALSE,FALSE,NA,NA
"Donald Trump refuses to be subject to the law. The legitimacy of our elections is in doubt. The president is waging… https://t.co/Xrly8kwwMK",FALSE,12588,"HillaryClinton",2018-09-18 15:08:58,TRUE,"1042067963166318592","1042067964403572736","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",3570,FALSE,FALSE,NA,NA
"On the day after the election, I hoped my fears for our country's future were overblown. 

They were not.",FALSE,21588,"HillaryClinton",2018-09-18 15:08:57,FALSE,"1042067961832513536","1042067963166318592","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",5455,FALSE,FALSE,NA,NA
"I've written a new afterword for ""What Happened"" breaking down what we've learned since it was published, how we go… https://t.co/UNRIwQBudv",FALSE,18933,NA,2018-09-18 15:08:57,TRUE,NA,"1042067961832513536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",4612,FALSE,FALSE,NA,NA
"Voting registration deadlines are coming up fast. Take two minutes now to check your registration, and ask a friend… https://t.co/ujwbwU44j2",FALSE,24368,NA,2018-09-18 13:01:33,TRUE,NA,"1042035901327650816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",11225,FALSE,FALSE,NA,NA
"Tyrone Gayle, a beloved member of the HFA team, was known to stay at the office until midnight and run six miles th… https://t.co/P0v8dc3Tly",FALSE,18496,NA,2018-09-17 19:43:57,TRUE,NA,"1041774778439352320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",5297,FALSE,FALSE,NA,NA
"There are 50 days left until midterm elections. If you're good and mad and ready to rebuild our democracy, I'm aski… https://t.co/epoDcMWY4h",FALSE,11763,NA,2018-09-17 17:17:04,TRUE,NA,"1041737816219312128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",4528,FALSE,FALSE,NA,NA
"My new afterword for ""What Happened"" is excerpted in @TheAtlantic. It's about the constitutional crisis building in… https://t.co/pTatzI81gx",FALSE,41729,NA,2018-09-17 12:56:08,TRUE,NA,"1041672149512187904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",12785,FALSE,FALSE,NA,NA
"In sum: Kavanaugh doesn't think judges should consider public safety or allow common-sense gun laws. Meanwhile, 96… https://t.co/F7SE9f6ZZ3",FALSE,17155,"HillaryClinton",2018-09-13 18:52:58,TRUE,"1040312395154030593","1040312397062463488","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",5230,FALSE,FALSE,NA,NA
"“Gun bans and gun regulations that are not longstanding or sufficiently rooted in the text, history and tradition a… https://t.co/YZj0zW9Ka0",FALSE,7853,"HillaryClinton",2018-09-13 18:52:57,TRUE,"1040312393623064576","1040312395154030593","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1701,FALSE,FALSE,NA,NA
"Judge Kavanaugh dissented when the D.C. appeals court ruled in 2011 that the city could ban semiautomatic rifles an… https://t.co/4mzlCThohI",FALSE,5219,"HillaryClinton",2018-09-13 18:52:57,TRUE,"1040312390569664512","1040312393623064576","1339835893","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HillaryClinton",1945,FALSE,FALSE,NA,NA
