text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Je suis très heureuse d'avoir lancé ce soir avec @J_Bardella #GénérationNation, mouvement jeune du @RNational_off.… https://t.co/nuksx5aB3X",FALSE,794,NA,6/23/18 19:39,TRUE,NA,1.01061E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MLP_officiel,391,FALSE,FALSE,NA,NA
"Après notre participation aux journées Metallia de Noyelles-Godault, nous sommes cet après-midi avec @SteeveBriois… https://t.co/qEGmzwxKa3",FALSE,329,NA,6/23/18 12:41,TRUE,NA,1.0105E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MLP_officiel,122,FALSE,FALSE,NA,NA
"RT @SteeveBriois: À Noyelles-Godault avec @MLP_officiel, nous participons ce matin aux journées Metallia : l'exposition ""Le Métal, patrimoi…",FALSE,0,NA,6/23/18 10:09,FALSE,NA,1.01046E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MLP_officiel,83,TRUE,FALSE,NA,NA
Au secours ! 😱 MLP #FêtedelaMusique2018 https://t.co/PxqDCVH9vA,FALSE,1388,NA,6/22/18 10:32,FALSE,NA,1.01011E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,1327,FALSE,FALSE,NA,NA
"La Troïka crie victoire sur la #Grèce !De qui se moque-t-on ?

Un pays sous tutelle, vendu à la découpe, 180% d’end… https://t.co/gN5rTGRn4q",FALSE,608,NA,6/22/18 8:41,TRUE,NA,1.01008E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,375,FALSE,FALSE,NA,NA
Comment le Président de la République française peut-il traiter des gouvernements de nations européennes de « lèpre… https://t.co/h14LMxWA2e,FALSE,1097,NA,6/21/18 16:05,TRUE,NA,1.00983E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,843,FALSE,FALSE,NA,NA
"Message clair des Français aux idéologues bornés, aux pleurnicheurs professionnels et aux ONG complices des passeur… https://t.co/sRIe6zeKlJ",FALSE,905,NA,6/21/18 14:19,TRUE,NA,1.0098E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,639,FALSE,FALSE,NA,NA
"RT @BrunoBilde: « A partir du 1er juillet, 40 millions d’automobilistes vont subir concrètement les conséquences de vos choix absurdes et d…",FALSE,0,NA,6/21/18 12:20,FALSE,NA,1.00977E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,502,TRUE,FALSE,NA,NA
"📹 Dans le cadre du débat sur les moyens nécessaires au Ministère de la Justice pour lutter contre le terrorisme, j'… https://t.co/SLmpeTq1wQ",FALSE,433,NA,6/21/18 10:04,TRUE,NA,1.00974E+18,NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",MLP_officiel,254,FALSE,FALSE,NA,NA
"Refus d’accueillir une immigration supplémentaire et renvoi des clandestins chez eux, conformément à la LOI : nos a… https://t.co/TBb5kZzCBA",FALSE,1105,NA,6/20/18 17:07,TRUE,NA,1.00948E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MLP_officiel,596,FALSE,FALSE,NA,NA
